linkedinUrl,query,timestamp
no url,Department of Economic Development,2018-10-19T03:25:19.003Z
https://www.linkedin.com/company/save-the-children-australia,Save the Children Australia,2018-10-19T03:25:19.525Z
no url,Chisholm Institute,2018-10-19T03:25:20.650Z
no url,HORNER,2018-10-19T03:25:21.457Z
https://www.linkedin.com/company/movember,Movember Foundatio,2018-10-19T03:25:22.685Z
no url,Australian Institute of Company Directors,2018-10-19T03:25:23.550Z
no url,Yooralla,2018-10-19T03:25:24.575Z
no url,City of Whittlesea,2018-10-19T03:25:25.818Z
https://www.linkedin.com/company/endeavour-foundation,Endeavour Foundatio,2018-10-19T03:25:26.760Z
https://www.linkedin.com/company/hobsons-bay-city-council,Hobsons Bay City Council,2018-10-19T03:25:27.556Z
no url,Kingston City Council,2018-10-19T03:25:28.790Z
no url,Victoria Legal Aid,2018-10-19T03:25:29.978Z
https://www.linkedin.com/company/melton-shire-council,Melton City Council,2018-10-19T03:25:31.156Z
no url,City of Port Phillip,2018-10-19T03:25:32.439Z
https://www.linkedin.com/company/care-australia,CARE Australia,2018-10-19T03:25:33.399Z
no url,Goodstart Early Learning,2018-10-19T03:25:34.426Z
no url,BarwonHealth,2018-10-19T03:25:35.278Z
https://www.linkedin.com/company/city-of-melbourne,CityofMelbourne,2018-10-19T03:25:36.075Z
https://www.linkedin.com/company/city-of-greater-dandenong-council,CityofGreaterDandenong,2018-10-19T03:25:36.614Z
no url,CityofBoroondara,2018-10-19T03:25:37.694Z
no url,CricketAustralia,2018-10-19T03:25:38.424Z
https://www.linkedin.com/company/mitchell-shire-council,MitchellShireCouncil,2018-10-19T03:25:39.254Z
https://www.linkedin.com/company/catholic-education-office-melbourne,CatholicEducationMelbourne,2018-10-19T03:25:40.185Z
no url,BerryStreet,2018-10-19T03:25:41.041Z
no url,TradewindAustralia,2018-10-19T03:25:42.019Z
no url,McArthur,2018-10-19T03:25:43.434Z
no url,ZoosVictoria,2018-10-19T03:25:44.477Z
no url,ManninghamCityCouncil,2018-10-19T03:25:45.285Z
