linkedinUrl,query,timestamp
https://www.linkedin.com/company/baptcare/,Baptcare,2018-10-19T04:07:35.360Z
https://www.linkedin.com/company/city-of-stonnington,City of Stonningto,2018-10-19T04:07:38.064Z
https://www.linkedin.com/company/civic-disability-services-limited/,Civic Disability Services Limited,2018-10-19T04:07:39.011Z
https://www.linkedin.com/company/cohealth,cohealth,2018-10-19T04:07:40.239Z
https://www.linkedin.com/company/educationvic,Department of Education and Training,2018-10-19T04:07:54.907Z
https://www.linkedin.com/company/department-of-justice-victoria-australia/,Department of Justice and Regulation,2018-10-19T04:07:55.927Z
https://www.linkedin.com/company/elderslimited/,Elders,2018-10-19T04:07:56.704Z
https://www.linkedin.com/company/extend-after-school-care/,Extend After School Care,2018-10-19T04:07:57.672Z
https://www.linkedin.com/school/florida-institute-of-technology/,Florida Institute of Technology,2018-10-19T04:07:58.581Z
https://www.linkedin.com/company/genuent,genU,2018-10-19T04:07:59.779Z
https://www.linkedin.com/company/hender-consulting,Hender Consulting,2018-10-19T04:08:00.749Z
https://www.linkedin.com/company/lizard-centre,Lizard Centre,2018-10-19T04:08:01.887Z
https://www.linkedin.com/company/magistrates-court-victoria-melbourne-australia/,Magistrates Court of Victoria,2018-10-19T04:08:03.097Z
https://www.linkedin.com/company/manningham-council/,Manningham City Council,2018-10-19T04:08:03.880Z
https://www.linkedin.com/company/marlow-recruitment-marlow-h-r-solutions/,Marlow Recruitment/Marlow H.R. Solutions,2018-10-19T04:08:04.777Z
https://www.linkedin.com/company/murrindindi-shire-council/,MurrindindiShire Council,2018-10-19T04:08:18.396Z
https://www.linkedin.com/company/national-electrical-and-communications-assoc./,National Electrical and Communications Association,2018-10-19T04:08:19.361Z
https://www.linkedin.com/company/ngo-recruitment,NGO Recruitment,2018-10-19T04:08:20.080Z
https://www.linkedin.com/company/nillumbik-shire-council/,Nillumbik Shire Council,2018-10-19T04:08:20.791Z
https://www.linkedin.com/company/redkite/,Redkite,2018-10-19T04:08:21.564Z
https://www.linkedin.com/company/rural-city-of-wangaratta/,Rural City of Wangaratta,2018-10-19T04:08:22.535Z
https://www.linkedin.com/in/st-vincent-s-sydney-71aa5913a/,StVincent Health Network Sydney,2018-10-19T04:08:23.494Z
https://www.linkedin.com/school/swinburne-university-of-technology/,Swinburne University of Technology,2018-10-19T04:08:24.373Z
https://www.linkedin.com/company/the-australian-red-cross-blood-service/,The Australian Red Cross Blood Service,2018-10-19T04:08:25.380Z
https://www.linkedin.com/company/uniting-aged-care/,Uniting Age Well,2018-10-19T04:08:26.210Z
https://www.linkedin.com/company/victorian-building-authority/,Victorian Building Authority,2018-10-19T04:08:27.090Z
https://www.linkedin.com/school/wenona-school/,Wenona School,2018-10-19T04:08:28.125Z
